date,project_id,expected_inflow,actual_inflow,expected_outflow,actual_outflow,opening_cash,closing_cash,net_cash_flow,net_cash_flow_lag1,rolling_net_7,rolling_outflow_30
2023-09-18,PJT_A,255057.82,0.0,260766.59,0.0,0.0,0.0,0.0,-0.02,-374.53142857143064,296339.19875
2023-09-26,PJT_A,0.0,0.0,637368.51,0.0,0.0,0.0,0.0,0.0,-26.94285714285922,278907.4811764706
2023-10-04,PJT_A,801733.06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.33142857143065,263412.6211111111
2023-10-10,PJT_A,203649.6,354938.15,322371.34,349972.67,0.0,4965.48,4965.48,0.0,708.6557142857121,267968.41315789474
2023-10-17,PJT_A,581259.87,0.0,0.0,1027.97,4965.48,3937.51,-1027.97,4965.48,562.4628571428549,254621.391
2023-10-25,PJT_A,466069.04,0.0,0.0,3681.65,3937.51,255.86,-3681.65,-1027.97,36.54857142856924,242671.8795238095
2023-11-13,PJT_A,564808.24,1265506.67,519374.37,828433.63,255.86,437328.9,437073.04,-3681.65,62475.557142857135,269297.41363636364
2023-11-26,PJT_A,0.0,87465.78,409314.81,347565.96,437328.9,177228.72,-260100.18,437073.04,25318.388571428568,272700.3939130435
2023-12-03,PJT_A,0.0,35445.74,610163.64,161846.11,177228.72,50828.35,-126400.37,-260100.18,7261.192857142853,268081.46541666664
2023-12-08,PJT_A,204644.24,489738.05,792819.4,535928.04,50828.35,4638.36,-46189.99,-126400.37,662.6228571428541,278795.3284
2023-12-15,PJT_A,311117.14,0.0,606720.95,4177.92,4638.36,460.44,-4177.92,-46189.99,-643.5771428571459,268233.1203846154
2023-12-21,PJT_A,0.0,0.0,596149.1,434.37,460.44,26.07,-434.37,-4177.92,-558.7771428571458,258314.64814814815
2023-12-24,PJT_A,471778.62,0.0,621136.74,24.12,26.07,1.95,-24.12,-434.37,-36.27285714286014,249089.98642857143
2023-12-26,PJT_A,0.0,0.0,521973.71,1.83,1.95,0.12,-1.83,-24.12,-62475.54,240500.73965517242
2024-01-05,PJT_A,870211.57,0.0,775782.09,0.11,0.12,0.01,-0.11,-1.83,-25318.387142857147,232484.052
2024-01-07,PJT_A,785901.36,0.0,555749.47,0.01,0.01,0.0,-0.01,-0.11,-7261.19285714286,203626.47666666665
2024-01-08,PJT_A,0.0,592645.46,601128.16,543519.39,0.0,49126.07,49126.07,-0.01,6355.387142857139,209371.00233333334
2024-01-09,PJT_A,0.0,9825.21,796889.34,44805.34,49126.07,14145.94,-34980.13,49126.07,1955.0714285714255,167747.61133333333
2024-02-02,PJT_A,603549.91,716.47,346177.03,12964.81,14145.94,1897.6,-12248.34,-34980.13,267.3614285714258,157100.58933333337
2024-02-06,PJT_A,752646.12,0.0,432696.71,1791.78,1897.6,105.82,-1791.78,-12248.34,14.838571428568555,129002.16633333334
2024-02-09,PJT_A,0.0,0.0,0.0,97.68,105.82,8.14,-97.68,-1791.78,1.1457142857114104,113723.75966666666
2024-02-11,PJT_A,456454.0,229051.92,710654.73,229058.02,8.14,2.04,-6.1,-97.68,0.2899999999971245,120275.26066666665
2024-02-13,PJT_A,258816.67,0.0,532274.1,1.85,2.04,0.19,-1.85,-6.1,0.02714285713998172,117059.15333333334
2024-02-18,PJT_A,0.0,822371.03,0.0,326788.96,0.19,495582.26,495582.07,-1.85,63779.455714285716,127008.71166666667
2024-02-29,PJT_A,456545.24,99116.45,781157.43,467821.26,495582.26,126877.45,-368704.81,495582.07,16104.50142857143,142521.64966666666
2024-03-06,PJT_A,0.0,15131.12,482792.35,119161.25,126877.45,22847.32,-104030.13,-368704.81,2992.817142857143,146487.94866666666
2024-03-12,PJT_A,0.0,229755.86,164954.25,210908.58,22847.32,41694.6,18847.28,-104030.13,5941.254285714285,153517.74500000002
2024-03-13,PJT_A,0.0,8338.92,305538.14,37667.76,41694.6,12365.76,-29328.84,18847.28,1765.374285714285,140922.71133333334
2024-03-22,PJT_A,824025.55,0.0,0.0,3941.8,12365.76,8423.96,-3941.8,-29328.84,1203.1314285714277,141054.09633333332
2024-03-26,PJT_A,0.0,92.96,486850.71,7762.12,8423.96,754.8,-7669.16,-3941.8,107.801428571428,141312.833
2024-03-31,PJT_A,351856.82,0.0,0.0,711.01,754.8,43.79,-711.01,-7669.16,-70791.21,141336.53333333333
2024-04-29,PJT_A,0.0,798088.66,748373.38,676245.97,43.79,121886.48,121842.69,-711.01,-712.9957142857165,163878.0656666667
2024-04-30,PJT_A,583087.9,24377.3,326256.49,115279.63,121886.48,30984.15,-90902.33,121842.69,1162.4042857142838,167720.72000000003
2024-05-03,PJT_A,0.0,4866.22,252283.6,29156.86,30984.15,6693.51,-24290.64,-90902.33,-5000.1557142857155,157026.85966666666
2024-05-06,PJT_A,233779.98,0.0,0.0,5170.35,6693.51,1523.16,-5170.35,-24290.64,-1548.9428571428587,157164.93899999998
2024-05-07,PJT_A,227250.82,304.63,0.0,0.0,1523.16,1827.79,304.63,-5170.35,-942.3100000000015,157042.21733333336
2024-05-09,PJT_A,294435.56,365.56,772404.95,1713.32,1827.79,480.03,-1347.76,304.63,-39.252857142858765,129484.87366666667
2024-05-10,PJT_A,0.0,0.0,223651.21,435.87,480.03,44.16,-435.87,-1347.76,0.05285714285551941,117913.87066666665
2024-05-16,PJT_A,0.0,8.83,720982.9,40.35,44.16,12.64,-31.52,-435.87,-17410.54857142857,112520.34533333333
2024-05-20,PJT_A,326664.9,2.53,672838.53,11.66,12.64,3.51,-9.13,-31.52,-4425.805714285715,94656.466
2024-05-21,PJT_A,0.0,0.0,302089.47,3.33,3.51,0.18,-3.33,-9.13,-956.1900000000007,94517.31300000001
2024-05-24,PJT_A,604990.04,0.0,799437.2,0.17,0.18,0.01,-0.17,-3.33,-217.59285714285792,94502.83966666667
2024-05-31,PJT_A,0.0,0.0,578464.1,0.01,0.01,0.0,-0.01,-0.17,-261.11285714285793,94502.036
2024-06-02,PJT_A,591051.24,0.0,368561.18,0.0,0.0,0.0,0.0,-0.01,-68.57571428571505,94501.97499999999
2024-06-03,PJT_A,0.0,0.0,352413.92,0.0,0.0,0.0,0.0,0.0,-6.3085714285721926,94501.97133333332
2024-06-05,PJT_A,662677.53,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.8057142857150492,94501.97099999999
2024-06-07,PJT_A,853345.31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.5014285714293348,76384.658
2024-06-11,PJT_A,655790.49,0.0,538296.21,0.0,0.0,0.0,0.0,0.0,-0.025714285715049044,74891.14666666667
2024-06-12,PJT_A,0.0,0.0,573948.58,0.0,0.0,0.0,0.0,0.0,-0.0014285714293347546,74458.98633333333
2024-06-21,PJT_A,0.0,0.0,244128.97,0.0,0.0,0.0,0.0,0.0,0.0,74399.26033333332
2024-06-30,PJT_A,338804.01,593792.56,631361.45,593792.56,0.0,0.0,0.0,0.0,0.0,94189.08966666668
2024-07-04,PJT_A,0.0,0.0,577131.3,0.0,0.0,0.0,0.0,0.0,0.0,86553.82233333333
2024-07-05,PJT_A,738720.15,1178588.15,526105.06,776568.72,0.0,402019.43,402019.43,0.0,57431.34714285714,112439.38466666666
2024-07-06,PJT_A,797750.1,80403.89,532178.53,316851.4,402019.43,165571.92,-236447.51,402019.43,23653.131428571425,112108.13266666667
2024-07-11,PJT_A,0.0,33114.38,358350.32,155350.55,165571.92,43335.75,-122236.17,-236447.51,6190.821428571427,101692.44233333334
2024-07-12,PJT_A,0.0,0.0,0.0,40195.13,43335.75,3140.62,-40195.13,-122236.17,448.6599999999983,99060.23833333333
2024-07-18,PJT_A,0.0,0.0,495120.55,2924.02,3140.62,216.6,-2924.02,-40195.13,30.94285714285544,92127.41966666668
2024-07-24,PJT_A,0.0,369146.34,291013.37,337954.58,216.6,31408.36,31191.76,-2924.02,4486.908571428569,102136.98033333334
2024-07-25,PJT_A,254382.45,6281.67,458930.53,29555.25,31408.36,8134.78,-23273.58,31191.76,1162.1114285714264,102990.76200000002
2024-07-26,PJT_A,0.0,1151.93,494265.37,7624.64,8134.78,1662.07,-6472.71,-23273.58,-57193.908571428576,102986.17933333333
2024-07-27,PJT_A,706197.22,0.0,293328.87,1565.47,1662.07,96.6,-1565.47,-6472.71,-23639.33142857143,103014.66133333332
2024-07-30,PJT_A,0.0,0.0,211349.13,87.76,96.6,8.84,-87.76,-1565.47,-6189.558571428574,80476.05433333335
2024-08-05,PJT_A,0.0,1.77,242519.03,8.1,8.84,2.51,-6.33,-87.76,-448.3014285714312,76633.67
2024-08-06,PJT_A,0.0,0.0,329862.78,2.26,2.51,0.25,-2.26,-6.33,-30.907142857145487,75661.85
2024-08-08,PJT_A,828990.47,0.0,0.0,0.0,0.25,0.25,0.0,-2.26,-4486.872857142859,75489.50500000002
2024-08-17,PJT_A,647333.75,0.0,515321.28,0.23,0.25,0.02,-0.23,0.0,-1162.1085714285732,75489.51266666668
2024-08-18,PJT_A,190560.28,0.0,248699.96,0.02,0.02,0.0,-0.02,-0.23,-237.43857142857334,75432.40266666668
2024-08-25,PJT_A,575578.25,0.0,617956.36,0.0,0.0,0.0,0.0,-0.02,-13.800000000001905,75417.87366666668
2024-08-28,PJT_A,867355.22,0.0,247273.84,0.0,0.0,0.0,0.0,0.0,-1.2628571428590472,75416.52866666668
2024-08-29,PJT_A,0.0,716017.1,794289.54,716017.1,0.0,0.0,0.0,0.0,-0.3585714285733328,99283.37666666666
2024-09-02,PJT_A,0.0,0.0,334312.85,0.0,0.0,0.0,0.0,0.0,-0.03571428571618997,99283.26566666666
2024-09-04,PJT_A,767339.02,734613.52,535638.53,657873.24,0.0,76740.28,76740.28,0.0,10962.861428571427,121212.368
2024-09-11,PJT_A,0.0,15348.06,510730.01,71518.98,76740.28,20569.36,-56170.92,76740.28,2938.4771428571403,123596.33366666667
2024-09-14,PJT_A,0.0,0.0,0.0,7116.03,20569.36,13453.33,-7116.03,-56170.92,1921.9042857142838,123833.53466666667
2024-09-17,PJT_A,349369.62,486.68,255451.03,12495.49,13453.33,1444.52,-12008.81,-7116.03,206.359999999998,124250.051
2024-09-18,PJT_A,635051.15,0.0,624048.87,1326.22,1444.52,118.3,-1326.22,-12008.81,16.89999999999798,124294.25833333335
2024-09-22,PJT_A,0.0,919572.95,405801.84,528468.32,118.3,391222.93,391104.63,-1326.22,55888.99,141909.869
2024-10-04,PJT_A,0.0,615104.6,290809.7,350717.58,391222.93,655609.95,264387.02,391104.63,93658.56428571428,153600.45500000002
2024-10-05,PJT_A,420170.08,131121.99,194917.99,200302.14,655609.95,586429.8,-69180.15,264387.02,72812.78857142858,160277.193
2024-10-06,PJT_A,484336.16,117285.96,792561.12,552109.64,586429.8,151606.12,-434823.68,-69180.15,18719.537142857145,178680.84766666667
2024-10-08,PJT_A,365074.03,0.0,718663.18,138935.2,151606.12,12670.92,-138935.2,-434823.68,-111.77285714285765,163518.93566666666
2024-10-12,PJT_A,343697.26,0.0,296362.35,11997.39,12670.92,673.53,-11997.39,-138935.2,-110.14142857143088,163918.84866666666
2024-10-13,PJT_A,0.0,0.0,665736.27,608.12,673.53,65.41,-608.12,-11997.39,-7.55571428571659,138053.49533333333
2024-10-14,PJT_A,568607.49,0.0,590155.07,60.5,65.41,4.91,-60.5,-608.12,-55888.28857142857,127493.79866666667
2024-10-15,PJT_A,0.0,0.0,150453.33,4.61,4.91,0.3,-4.61,-60.5,-93658.52142857143,122315.60066666665
2024-10-16,PJT_A,0.0,0.0,458564.25,0.28,0.3,0.02,-0.28,-4.61,-83775.68285714286,120975.77233333333
2024-10-22,PJT_A,0.0,0.0,0.0,0.02,0.02,0.0,-0.02,-0.28,-21658.017142857156,120878.30566666667
2024-10-30,PJT_A,0.0,427555.58,0.0,173656.01,0.0,253899.57,253899.57,-0.02,34461.23571428571,115401.68666666666
2024-11-01,PJT_A,192735.22,269448.19,335714.66,166548.09,253899.57,356799.67,102900.1,253899.57,50875.162857142845,119968.11466666666
2024-11-04,PJT_A,0.0,71359.93,292035.74,335788.34,356799.67,92371.26,-264428.41,102900.1,13186.549999999997,130906.90466666667
2024-11-05,PJT_A,0.0,0.0,576501.16,84407.39,92371.26,7963.87,-84407.39,-264428.41,1136.9942857142846,133668.302
2024-11-07,PJT_A,873952.04,0.0,225317.52,7495.24,7963.87,468.63,-7495.24,-84407.39,66.90428571428518,133915.218
2024-11-08,PJT_A,625642.7,0.0,269227.99,429.24,468.63,39.39,-429.24,-7495.24,5.624285714285244,133929.256
2024-11-09,PJT_A,371533.88,0.0,220859.84,36.15,39.39,3.24,-36.15,-429.24,0.4628571428566752,133930.38566666667
2024-11-11,PJT_A,0.0,0.0,0.0,2.95,3.24,0.29,-2.95,-36.15,-36271.32571428572,133930.484
2024-11-12,PJT_A,654258.35,0.0,0.0,0.27,0.29,0.02,-0.27,-2.95,-50971.37857142857,133930.48533333334
2024-11-17,PJT_A,0.0,0.0,0.0,0.02,0.02,0.0,-0.02,-0.27,-13195.894285714297,133930.48533333332
2024-11-28,PJT_A,504089.59,0.0,802085.81,0.0,0.0,0.0,0.0,-0.02,-1137.6957142857252,133930.48533333332
2024-11-30,PJT_A,546177.09,537997.62,0.0,218286.56,0.0,319711.06,319711.06,0.0,45606.06142857142,141206.704
2024-12-05,PJT_A,0.0,63942.21,0.0,0.0,319711.06,383653.27,63942.21,319711.06,54801.98285714285,117339.46733333333
2024-12-13,PJT_A,0.0,461445.32,813642.34,654774.52,383653.27,190324.07,-193329.2,63942.21,27188.68999999999,139165.28466666667
2024-12-14,PJT_A,0.0,27410.79,264804.04,179723.43,190324.07,38011.43,-152312.64,-193329.2,5430.162857142843,123226.95766666667
2024-12-28,PJT_A,297852.34,580981.32,383814.94,502221.2,38011.43,116771.55,78760.12,-152312.64,16681.647142857128,137583.69833333333
2024-12-29,PJT_A,884446.04,589847.29,348478.49,503271.01,116771.55,203347.83,86576.28,78760.12,29049.689999999984,154122.19766666667
2022-06-06,PJT_B,421987.63,170133.82,404767.0,425685.77,981936.84,726384.89,-255551.95,,-255551.95,425685.77
2022-10-20,PJT_B,523674.78,0.0,107970.37,155069.34,726384.89,571315.55,-155069.34,-255551.95,-205310.64500000002,290377.555
2022-10-21,PJT_B,169492.7,73763.28,277015.35,336259.24,571315.55,308819.59,-262495.96,-155069.34,-224372.41666666666,305671.45
2022-11-09,PJT_B,419396.03,0.0,329673.95,248385.56,308819.59,60434.03,-248385.56,-262495.96,-230375.7025,291349.9775
2022-11-28,PJT_B,258493.08,182930.48,187098.7,237573.01,60434.03,5791.5,-54642.53,-248385.56,-195229.068,280594.584
2022-12-21,PJT_B,407061.69,416237.85,410947.42,420154.02,5791.5,1875.33,-3916.17,-54642.53,-163343.585,303854.49
2023-02-02,PJT_B,88811.75,0.0,71698.8,1768.38,1875.33,106.95,-1768.38,-3916.17,-140261.41285714286,260699.33142857143
2023-02-16,PJT_B,0.0,257285.48,0.0,103884.21,106.95,153508.22,153401.27,-1768.38,-81839.52428571427,241097.44125
2023-02-18,PJT_B,0.0,274646.36,288570.54,141474.5,153508.22,286680.08,133171.86,153401.27,-40662.21,230028.22555555555
2023-03-14,PJT_B,98447.23,57336.02,141074.31,143229.77,286680.08,200786.33,-85893.75,133171.86,-15433.322857142859,221348.37999999998
2023-04-02,PJT_B,222094.0,40157.27,358154.52,184919.52,200786.33,56024.08,-144762.25,-85893.75,-629.9928571428588,218036.66545454544
2023-04-06,PJT_B,206444.08,0.0,202663.81,51484.28,56024.08,4539.8,-51484.28,-144762.25,-178.81428571428737,204157.30000000002
2023-04-15,PJT_B,0.0,0.0,320990.75,4106.37,4539.8,433.43,-4106.37,-51484.28,-205.98571428571591,188768.76692307694
2023-04-28,PJT_B,360668.99,0.0,319064.26,394.55,433.43,38.88,-394.55,-4106.37,-9.724285714287337,175313.4657142857
2023-04-30,PJT_B,0.0,0.0,213382.64,36.54,38.88,2.34,-36.54,-394.55,-21929.411428571428,163628.33733333333
2023-05-15,PJT_B,385935.09,0.0,92779.26,2.13,2.34,0.21,-2.13,-36.54,-40954.26714285714,153401.699375
2023-05-19,PJT_B,362708.72,0.0,337914.78,0.19,0.21,0.02,-0.19,-2.13,-28683.758571428567,144378.0811764706
2023-05-24,PJT_B,175806.59,0.0,301331.16,0.02,0.02,0.0,-0.02,-0.19,-8003.439999999997,136357.07777777777
2023-05-27,PJT_B,0.0,0.0,308540.79,0.0,0.0,0.0,0.0,-0.02,-648.5428571428548,129180.3894736842
2023-05-28,PJT_B,0.0,0.0,257562.15,0.0,0.0,0.0,0.0,0.0,-61.918571428569116,122721.37
2023-06-03,PJT_B,104847.79,0.0,302470.56,0.0,0.0,0.0,0.0,0.0,-5.554285714283401,116877.49523809523
2023-06-10,PJT_B,334244.97,204778.44,0.0,83283.07,0.0,121495.37,121495.37,0.0,17356.147142857146,115350.47590909092
2023-06-21,PJT_B,369955.52,24299.07,254345.23,109775.76,121495.37,36018.68,-85476.69,121495.37,5145.4957142857165,115108.09695652174
2023-06-22,PJT_B,279930.84,6965.13,274185.79,33408.5,36018.68,9575.31,-26443.37,-85476.69,1367.8985714285732,111703.94708333333
2023-06-26,PJT_B,328110.77,0.0,100148.51,8847.51,9575.31,727.8,-8847.51,-26443.37,103.97142857143028,107589.68960000001
2023-07-06,PJT_B,0.0,104928.41,90567.72,85452.2,727.8,20204.01,19476.21,-8847.51,2886.2871428571443,106738.24769230769
2023-07-16,PJT_B,0.0,358605.38,176294.64,260899.43,20204.01,117909.96,97705.95,19476.21,16844.280000000002,112447.92111111112
2023-07-21,PJT_B,0.0,246572.43,74455.8,108900.91,117909.96,255581.48,137671.52,97705.95,36511.64,112321.24214285714
2023-07-25,PJT_B,146842.47,51116.3,306653.97,198060.31,255581.48,108637.47,-146944.01,137671.52,-1836.8428571428562,115277.76172413792
2023-07-28,PJT_B,0.0,16272.53,148590.44,100640.22,108637.47,24269.78,-84367.69,-146944.01,-1678.414285714285,114789.84366666667
2023-08-02,PJT_B,0.0,0.0,273962.06,22673.28,24269.78,1596.5,-22673.28,-84367.69,-1139.8299999999992,101356.094
2023-08-05,PJT_B,115683.91,113542.8,207859.38,115030.12,1596.5,109.18,-1487.32,-22673.28,-88.37428571428482,100021.45333333334
2023-08-07,PJT_B,388319.76,0.0,263262.68,103.67,109.18,5.51,-103.67,-1487.32,-2885.499999999999,88816.26766666667
2023-08-16,PJT_B,0.0,132912.18,147992.58,132917.27,5.51,0.42,-5.09,-103.67,-16844.219999999998,84967.32466666665
2023-08-28,PJT_B,175936.17,0.0,0.0,0.39,0.42,0.03,-0.39,-5.09,-36511.635714285716,77048.23733333334
2023-09-08,PJT_B,176933.03,146084.36,77353.33,86336.79,0.03,59747.6,59747.57,-0.39,-6984.267142857142,65920.99633333334
2023-09-09,PJT_B,197017.84,11949.52,118749.93,53884.07,59747.6,17813.05,-41934.55,59747.57,-922.3899999999994,67658.186
2023-09-11,PJT_B,339559.61,2558.68,137971.49,16407.33,17813.05,3964.4,-13848.65,-41934.55,338.27142857142906,64742.29
2023-09-19,PJT_B,0.0,0.0,78660.97,3673.02,3964.4,291.38,-3673.02,-13848.65,26.02857142857186,60148.90733333333
2023-09-27,PJT_B,157405.85,0.0,263886.1,262.85,291.38,28.53,-262.85,-3673.02,3.2885714285718888,55383.34333333334
2023-10-07,PJT_B,218501.12,0.0,313094.9,26.45,28.53,2.08,-26.45,-262.85,0.23714285714331546,49220.241
2023-10-08,PJT_B,0.0,0.0,345428.94,1.95,2.08,0.13,-1.95,-26.45,0.01428571428617263,47504.16333333333
2023-10-16,PJT_B,103386.1,0.0,0.0,0.12,0.13,0.01,-0.12,-1.95,-8535.369999999999,47367.28833333333
2023-10-19,PJT_B,232608.03,230063.89,337858.22,230063.9,0.01,0.0,-0.01,-0.12,-2544.7214285714276,55022.933333333334
2023-10-20,PJT_B,0.0,192715.76,95550.79,133297.1,0.0,59418.66,59418.66,-0.01,7922.037142857144,59464.952000000005
2023-10-26,PJT_B,323522.54,11883.73,335527.93,53496.83,59418.66,17805.56,-41613.1,59418.66,2502.0257142857154,61248.10866666667
2023-11-06,PJT_B,260503.69,147608.66,71678.99,100085.31,17805.56,65328.91,47523.35,-41613.1,9328.625714285716,64584.27933333333
2023-11-07,PJT_B,265628.43,219641.21,0.0,69036.26,65328.91,215933.86,150604.95,47523.35,30847.397142857146,66885.48733333334
2023-11-10,PJT_B,239212.75,43186.77,237339.09,196711.8,215933.86,62408.83,-153525.03,150604.95,8915.528571428573,73442.54733333334
2023-11-17,PJT_B,102082.43,1168.14,303263.57,58642.22,62408.83,4934.75,-57474.08,-153525.03,704.962857142861,75397.288
2023-11-22,PJT_B,0.0,0.0,322764.93,4497.75,4934.75,437.0,-4497.75,-57474.08,62.428571428574806,75547.213
2023-12-21,PJT_B,324974.96,312592.2,151259.62,226392.62,437.0,86636.58,86199.58,-4497.75,3888.2742857142885,80317.53133333333
2024-01-03,PJT_B,0.0,502212.51,110196.39,203522.16,86636.58,385326.93,298690.35,86199.58,52503.05285714286,83442.41133333332
2024-01-11,PJT_B,272497.24,189333.95,0.0,0.0,385326.93,574660.88,189333.95,298690.35,72761.71,82328.79466666667
2024-01-13,PJT_B,0.0,114932.18,198514.84,209932.95,574660.88,479660.11,-95000.77,189333.95,37675.17857142857,89031.64266666667
2024-02-03,PJT_B,338262.69,83791.21,353557.64,256315.66,479660.11,307135.66,-172524.45,-95000.77,34960.975714285705,94727.09133333334
2024-02-10,PJT_B,0.0,17675.99,174155.31,214975.58,307135.66,109836.07,-197299.59,-172524.45,14985.902857142853,93196.29633333332
2024-02-16,PJT_B,348479.14,0.0,271109.93,102233.46,109836.07,7602.61,-102233.46,-197299.59,1023.6585714285653,92974.04800000001
2024-02-23,PJT_B,0.0,0.0,350110.58,6954.54,7602.61,648.07,-6954.54,-102233.46,-12284.072857142863,86603.85566666667
2024-03-02,PJT_B,336001.11,0.0,319588.73,587.71,648.07,60.36,-587.71,-6954.54,-55038.08142857143,83268.77200000001
2024-03-14,PJT_B,0.0,0.0,135140.37,54.71,60.36,5.65,-54.71,-587.71,-82093.60428571429,82514.81966666668
2024-03-17,PJT_B,295686.37,0.0,152032.98,5.11,5.65,0.54,-5.11,-54.71,-68522.79571428572,78680.65266666668
2024-03-18,PJT_B,101873.02,0.0,76975.7,0.49,0.54,0.05,-0.49,-5.11,-43876.51571428571,78677.21333333333
2024-03-20,PJT_B,0.0,0.0,90411.87,0.05,0.05,0.0,-0.05,-0.49,-15690.86714285714,74246.63933333334
2024-03-21,PJT_B,245984.32,0.0,181080.3,0.0,0.0,0.0,0.0,-0.05,-1086.0871428571386,74246.62633333333
2024-03-23,PJT_B,164568.4,0.0,83093.84,0.0,0.0,0.0,0.0,0.0,-92.58142857142442,71368.73333333334
2024-03-25,PJT_B,0.0,302155.76,243002.23,226798.35,0.0,75357.41,75357.41,0.0,10756.721428571433,77132.54266666668
2024-03-31,PJT_B,0.0,342542.81,264033.57,282304.26,75357.41,135595.96,60238.55,75357.41,19370.044285714295,85995.77366666666
2024-04-01,PJT_B,386425.92,27119.19,311940.48,127100.18,135595.96,35614.97,-99980.99,60238.55,5087.775714285717,90110.01233333333
2024-04-05,PJT_B,218746.49,0.0,0.0,21643.27,35614.97,13971.7,-21643.27,-99980.99,1995.950000000004,90822.693
2024-04-12,PJT_B,219009.06,262975.12,119781.1,269669.38,13971.7,7277.44,-6694.26,-21643.27,1039.63428571429,99810.79066666667
2024-04-23,PJT_B,159219.13,464.39,84344.75,6835.55,7277.44,906.28,-6371.16,-6694.26,129.46857142857556,100038.57733333333
2024-05-02,PJT_B,0.0,395169.41,281375.22,297187.95,906.28,98887.74,97981.46,-6371.16,14126.820000000005,109944.83833333333
2024-05-13,PJT_B,0.0,247387.05,196303.63,183070.72,98887.74,163204.07,64316.33,97981.46,12549.522857142862,108378.399
2024-05-14,PJT_B,287783.14,26219.57,0.0,0.0,163204.07,189423.64,26219.57,64316.33,7689.668571428576,103935.16233333334
2024-05-20,PJT_B,240842.0,37884.73,207328.72,179744.91,189423.64,47563.46,-141860.18,26219.57,1706.9271428571499,108143.43166666666
2024-05-25,PJT_B,131348.04,0.0,0.0,38026.14,47563.46,9537.32,-38026.14,-141860.18,-633.4828571428516,106074.79266666668
2024-05-26,PJT_B,172539.98,0.0,220666.14,8733.74,9537.32,803.58,-8733.74,-38026.14,-924.8371428571378,104064.70866666666
2024-05-28,PJT_B,372412.3,0.0,0.0,731.69,803.58,71.89,-731.69,-8733.74,-119.19857142856634,97532.03833333334
2024-05-31,PJT_B,0.0,0.0,0.0,66.48,71.89,5.41,-66.48,-731.69,-14126.047142857138,95579.51366666667
2024-06-03,PJT_B,257078.78,0.0,0.0,5.11,5.41,0.3,-5.11,-66.48,-23314.824285714283,95429.759
2024-06-10,PJT_B,0.0,0.0,243164.03,0.27,0.3,0.03,-0.27,-5.11,-27060.515714285713,87883.34733333332
2024-06-12,PJT_B,117616.42,78461.81,327256.66,78461.84,0.03,0.0,-0.03,-0.27,-6794.779999999999,83714.67
2024-06-19,PJT_B,0.0,171279.69,347958.84,171279.69,0.0,0.0,0.0,-0.03,-1362.4742857142846,89423.993
2024-06-20,PJT_B,0.0,0.0,270643.83,0.0,0.0,0.0,0.0,0.0,-114.79714285714189,82426.22799999999
2024-06-21,PJT_B,0.0,257122.17,161161.97,212344.76,0.0,44777.41,44777.41,0.0,6386.502857142858,80960.53133333333
2024-06-26,PJT_B,0.0,8955.48,65437.21,41661.22,44777.41,12071.67,-32705.74,44777.41,1723.7514285714303,75183.386
